blmin,blmax,blopt,lh_epsilon,llh
1e-1,100,True,0.1,-108281.854
1e-2,100,True,0.1,-108281.854
1e-3,100,True,0.1,-108281.854
1e-4,100,True,0.1,-108281.854
1e-5,100,True,0.1,-108281.854
1e-6,100,True,0.1,-108281.854
1e-7,100,True,0.1,-108281.854
1e-8,100,True,0.1,-108283.214
1e-9,100,True,0.1,-108281.854
1e-10,100,True,0.1,-108281.735
1e-6,1e1,True,0.1,-108281.854
1e-6,1e2,True,0.1,-108281.854
1e-6,1e3,True,0.1,-108281.854
1e-6,1e4,True,0.1,-108281.854
1e-6,1e5,True,0.1,-108281.854
1e-6,1e6,True,0.1,-108281.854
1e-6,100,True,0.1,-108281.854
1e-6,100,False,0.1,-108281.854
1e-6,100,True,0.1,-108281.854
1e-6,100,True,0.01,-108281.854
1e-6,100,True,0.001,-108281.854
1e-6,100,True,0.0001,-108281.854
